!Ion
Fe+
!MOLECULAR WEIGHT
56.0
!NUMBER OF ENERGY LEVELS
111
!LEVEL + ENERGIES(cm^-1) + WEIGHT + Qnum
  80       61347.6130000      16.0          3d6(3H)4p_z4Io%4I15/2
  81       61527.6170000      14.0          3d6(3H)4p_z4Io%4I13/2
  82       61587.2150000      12.0          3d6(3H)4p_z4Io%4I11/2
  83       61512.6330000      10.0           3d6(3H)4p_z4Io%4I9/2
  84       61726.0780000       8.0           3d6(3P2)4p_y4D%4D7/2
  85       62689.8790000       6.0           3d6(3P2)4p_y4D%4D5/2
  86       62962.2030000       4.0           3d6(3P2)4p_y4D%4D3/2
  87       62829.0740000       2.0           3d6(3P2)4p_y4D%4D1/2
  88       62945.0390000       8.0           3d6(3F2)4p_x4D%4D7/2
  89       63272.9770000       6.0           3d6(3F2)4p_x4D%4D5/2
  90       63465.1090000       4.0           3d6(3F2)4p_x4D%4D3/2
  91       63559.4880000       2.0           3d6(3F2)4p_x4D%4D1/2
  92       62158.1090000      10.0           3d6(3F2)4p_y4F%4F9/2
  93       62065.5200000       8.0           3d6(3F2)4p_y4F%4F7/2
  94       62151.5620000       6.0           3d6(3F2)4p_y4F%4F5/2
  95       62244.5200000       4.0           3d6(3F2)4p_y4F%4F3/2
  96       63876.3160000      12.0          3d6(3F2)4p_y4G%4G11/2
  97       63948.7890000      10.0           3d6(3F2)4p_y4G%4G9/2
  98       64040.8870000       8.0           3d6(3F2)4p_y4G%4G7/2
  99       64087.4180000       6.0           3d6(3F2)4p_y4G%4G5/2
 100       66012.7500000      10.0           3d6(3G)4p_x4Fo%4F9/2
 101       66377.2810000       8.0           3d6(3G)4p_x4Fo%4F7/2
 102       66522.3050000       6.0           3d6(3G)4p_x4Fo%4F5/2
 103       66612.6560000       4.0           3d6(3G)4p_x4Fo%4F3/2
 104       65580.0390000      12.0          3d6(3G)4p_x4Go%4G11/2
 105       65696.0390000      10.0           3d6(3G)4p_x4Go%4G9/2
 106       65931.3360000       8.0           3d6(3G)4p_x4Go%4G7/2
 107       66078.2660000       6.0           3d6(3G)4p_x4Go%4G5/2
 108       66411.6880000      14.0          3d6(3G)4p_y4Ho%4H13/2
 109       66463.5310000      12.0          3d6(3G)4p_y4Ho%4H11/2
 110       66589.0080000      10.0           3d6(3G)4p_y4Ho%4H9/2
 111       66672.3360000       8.0           3d6(3G)4p_y4Ho%4H7/2
!NUMBER OF RADIATIVE TRANSITIONS
822
!TRANS + UP + LOW + EINSTEINA(s^-1) + FREQ(GHz) + E_u(K)
    1     2     1      2.130e-03  1.1535714e+04     553.627
    2     3     2      1.570e-03  8.4809180e+03     960.647
    3     4     3      7.180e-04  5.8438542e+03    1241.108
    4     5     4      1.880e-04  3.4308250e+03    1405.761
    5     6     1      2.800e-04  5.6138147e+04    2694.206
    6     7     2      1.800e-04  6.1316758e+04    3496.368
    7     7     1      1.000e-04  7.2852473e+04    3496.368
    8     7     3      3.400e-05  5.2835841e+04    3496.368
    9     7     6      6.120e-03  1.6714326e+04    3496.368
   10     8     3      1.000e-04  6.5062971e+04    4083.177
   11     8     2      6.900e-04  7.3543884e+04    4083.177
   12     8     4      2.500e-05  5.9219111e+04    4083.177
   13     8     7      3.660e-03  1.2227126e+04    4083.177
   14     9     4      4.000e-05  6.7598640e+04    4485.331
   15     9     3      2.800e-05  7.3442492e+04    4485.331
   16     9     5      9.900e-06  6.4167817e+04    4485.331
   17     9     8      1.410e-03  8.3795286e+03    4485.331
   18    10     1      5.600e-03  2.3849386e+05   11445.901
   19    10     2      1.600e-03  2.2695814e+05   11445.901
   20    10     3      9.700e-04  2.1847722e+05   11445.901
   21    10     6      1.900e-03  1.8235572e+05   11445.901
   22    10     7      4.200e-04  1.6564140e+05   11445.901
   23    11     2      4.800e-04  2.4004826e+05   12074.127
   24    11     3      2.400e-03  2.3156735e+05   12074.127
   25    11     4      1.400e-03  2.2572350e+05   12074.127
   26    11     6      1.000e-03  1.9544584e+05   12074.127
   27    11     7      8.000e-04  1.7873152e+05   12074.127
   28    11     8      5.800e-04  1.6650438e+05   12074.127
   29    11    10      2.560e-03  1.3090127e+04   12074.127
   30    12     4      3.000e-03  2.3437298e+05   12489.237
   31    12     5      1.300e-03  2.3094216e+05   12489.237
   32    12     7      1.400e-03  1.8738100e+05   12489.237
   33    12     8      3.800e-04  1.7515386e+05   12489.237
   34    12     9      6.800e-04  1.6677434e+05   12489.237
   35    12    11      1.360e-03  8.6494808e+03   12489.237
   36    13     4      7.800e-04  2.3935894e+05   12728.526
   37    13     5      4.000e-03  2.3592811e+05   12728.526
   38    13     8      1.600e-03  1.8013981e+05   12728.526
   39    13     9      8.000e-04  1.7176029e+05   12728.526
   40    13    12      3.710e-04  4.9859526e+03   12728.526
   41    14     2      1.500e-03  3.9241694e+05   19386.672
   42    14     6      1.900e-02  3.4781451e+05   19386.672
