! iup ilow         Eup           freq            lam         Tex         tau          Tr         fup        flow      flux_K        flux        beta         Jnu    gup   glow         Aul         Bul         Blu q
!                    K             Hz         micron           K                       K                              K km/s   erg/cm2/s                     ...                       ...         ...         ...  
!     1/     1:     1    1    1    1    1 /     1    1    1    1    1  Loop order: Tkin, dv, n_x, Ncol_x, dens
!  7.0000E+00 =    Tkin
!  1.0000E+05 =      dv
!  1.0000E+00 =     n_x
!  3.0873E+15 =  Ncol_x
!  1.2589E+06 =      H2
    1    0      4.2536  8.8630642E+10  3.3824922E+03  6.959E+000  4.017E+002 -4.281E+001  4.433E-001  2.723E-001 -4.557E+001 -3.054E-008  1.145E-003  1.230E-014    3.0    1.0  2.407E-005  2.345E+009  7.035E+009 0
    2    1     12.7608  1.7726128E+11  1.6912461E+03  6.947E+000  6.730E+002 -4.274E+001  2.171E-001  4.433E-001 -4.549E+001 -2.440E-007  6.487E-004  3.445E-014    5.0    3.0  2.311E-004  2.814E+009  4.689E+009 0
    3    2     25.5213  2.6588593E+11  1.1275228E+03  6.657E+000  3.584E+002 -4.133E+001  4.470E-002  2.171E-001 -4.400E+001 -7.962E-007  1.299E-003  4.895E-014    7.0    5.0  8.356E-004  3.015E+009  4.221E+009 0
    4    3     42.5349  3.5450758E+11  8.4565881E+02  8.925E+000  7.015E+001 -3.948E+001  8.542E-003  4.470E-002 -4.203E+001 -1.803E-006  8.251E-003  1.273E-013    9.0    7.0  2.054E-003  3.127E+009  4.020E+009 0
    5    4     63.8011  4.4311424E+11  6.7655794E+02  3.479E+001  7.000E+000 -1.528E+001  5.666E-003  8.542E-003 -1.626E+001 -1.362E-006  1.221E-001  1.635E-012   11.0    9.0  4.102E-003  3.198E+009  3.908E+009 0
    6    5     89.3195  5.3171790E+11  5.6381863E+02  4.259E+001  4.492E+000 -7.344E+000  3.678E-003  5.666E-003 -7.818E+000 -1.131E-006  1.893E-001  2.824E-012   13.0   11.0  7.197E-003  3.247E+009  3.837E+009 0
