! iup ilow         Eup           freq            lam         Tex         tau          Tr         fup        flow      flux_K        flux        beta         Jnu    gup   glow         Aul         Bul         Blu q
!                    K             Hz         micron           K                       K                              K km/s   erg/cm2/s                     ...                       ...         ...         ...  
!     1/     1:     1    1    1    1    1 /     1    1    1    1    1  Loop order: Tkin, dv, n_x, Ncol_x, dens
!  1.5000E+01 =    Tkin
!  1.0000E+05 =      dv
!  1.0000E+00 =     n_x
!  1.0000E+20 =  Ncol_x
!  9.9992E+03 =     pH2
!  7.6146E-01 =     oH2
    1    0      5.5321  1.1527120E+11  2.6007576E+03  1.096E+001  1.088E+004  9.181E+007  3.477E-001  1.920E-001  9.773E+007  1.441E-001  1.379E-004 -5.165E-011    3.0    1.0  7.203E-008  3.189E+006  9.568E+006 0
    2    1     16.5962  2.3053700E+11  1.3004093E+03  1.534E+001  1.701E+004  1.149E+007  2.817E-001  3.477E-001  1.223E+007  1.443E-001  8.817E-005 -1.637E-011    5.0    3.0  6.910E-007  3.825E+006  6.375E+006 0
    3    2     33.1918  3.4579839E+11  8.6695736E+02  1.499E+001  1.615E+004  3.413E+006  1.303E-001  2.817E-001  3.633E+006  1.446E-001  9.286E-005 -1.134E-011    7.0    5.0  2.497E-006  4.095E+006  5.734E+006 0
    4    3     55.3183  4.6104039E+11  6.5025205E+02  1.486E+001  8.219E+003  1.446E+006  3.779E-002  1.303E-001  1.539E+006  1.452E-001  1.825E-004 -1.682E-011    9.0    7.0  6.126E-006  4.240E+006  5.451E+006 0
    5    4     82.9746  5.7626599E+11  5.2023278E+02  1.447E+001  2.544E+003  7.345E+005  6.826E-003  3.779E-002  7.818E+005  1.440E-001  5.896E-004 -4.370E-011   11.0    9.0  1.221E-005  4.327E+006  5.289E+006 0
    6    5    116.1602  6.9147520E+11  4.3355489E+02  1.209E+001  4.943E+002  4.221E+005  5.179E-004  6.826E-003  4.493E+005  1.430E-001  3.035E-003 -1.878E-010   13.0   11.0  2.137E-005  4.384E+006  5.181E+006 0
    7    6    154.8732  8.0665003E+11  3.7165121E+02  0.000E+000  6.277E+001  2.672E+005  0.000E+000  5.179E-004  2.844E+005  1.437E-001  2.388E-002 -1.278E-009   15.0   13.0  3.422E-005  4.422E+006  5.102E+006 0
    8    7    199.1126  9.2179946E+11  3.2522525E+02         NaN  8.596E-001         NaN  0.000E+000  0.000E+000         NaN         NaN  7.400E-001 -3.439E-008   17.0   15.0  5.134E-005  4.445E+006  5.038E+006 0
