! iup ilow         Eup           freq            lam         Tex         tau          Tr         fup        flow      flux_K    flux_int     flux_Jy        beta         Jnu    gup   glow         Aul         Bul         Blu      n_crit  n_crit_old q
!                    K             Hz         micron           K                       K                              K km/s   erg/cm2/s   Jy( 0.1")                     ...                       s-1         ...         ...        cm-3        cm-3  
!     1/     5:     1    1    1    1    1 /     1    1    1    1    5  Loop order: Tkin, dv, n_x, Ncol_x, dens
!  2.3000E+01 =    Tkin
!  1.0000E+05 =      dv
!  1.0000E+00 =     n_x
!  7.0000E+12 =  Ncol_x
!  1.0000E+03 =      H2
    7    6     89.8812  5.3506178E+11  5.6029504E+02  1.316E+001  4.182E-003  1.775E-002  1.185E-004  7.052E-004  1.890E-002  3.728E-008  4.159E-005  9.984E-001  7.675E-016   13.0   11.0  1.271E-002  5.628E+009  6.651E+009  9.861E+006  3.340E+007 1
    8    7    119.8383  6.2420867E+11  4.8027602E+02  1.492E+001  6.999E-004  3.251E-003  1.836E-005  1.185E-004  3.460E-003  1.084E-008  1.036E-005  9.997E-001  2.052E-016   15.0   13.0  2.040E-002  5.689E+009  6.564E+009  1.562E+007  5.778E+007 1
    9    8    154.0733  7.1334209E+11  4.2026464E+02  1.601E+001  1.095E-004  5.005E-004  2.451E-006  1.836E-005  5.327E-004  2.490E-009  2.084E-006  1.000E+000  4.946E-017   17.0   15.0  3.071E-002  5.738E+009  6.503E+009  2.239E+007  9.140E+007 1
   10    9    192.5852  8.0245833E+11  3.7359256E+02  1.584E+001  1.500E-005  5.570E-005  2.409E-007  2.451E-006  5.929E-005  3.946E-010  2.935E-007  1.000E+000  8.972E-018   19.0   17.0  4.401E-002  5.776E+009  6.455E+009  3.278E+007  1.424E+008 1
   11   10    235.3731  8.9155792E+11  3.3625685E+02  1.630E+001  1.491E-006  4.979E-006  1.928E-008  2.409E-007  5.300E-006  4.837E-011  3.238E-008  1.000E+000  2.091E-018   21.0   19.0  6.067E-002  5.806E+009  6.417E+009  4.462E+007  1.983E+008 1
   12   11    282.4363  9.8063740E+11  3.0571183E+02  1.749E+001  1.193E-007  4.087E-007  1.433E-009  1.928E-008  4.351E-007  5.284E-012  3.216E-009  1.000E+000  4.366E-019   23.0   21.0  8.107E-002  5.830E+009  6.386E+009  6.226E+007  2.835E+008 1
!     3/     5:     1    1    1    1    3 /     1    1    1    1    5  Loop order: Tkin, dv, n_x, Ncol_x, dens
!  2.3000E+01 =    Tkin
!  1.0000E+05 =      dv
!  1.0000E+00 =     n_x
!  7.0000E+12 =  Ncol_x
!  1.0000E+06 =      H2
    2    1      4.2804  8.9188523E+10  3.3613345E+03  4.446E+001  1.352E-001  5.216E+000  3.168E-001  1.163E-001  5.553E+000  5.073E-008  3.395E-004  9.511E-001  7.677E-015    3.0    1.0  4.251E-005  4.064E+009  1.219E+010  4.136E+004  1.805E+005 1
    3    2     12.8411  1.7837506E+11  1.6806859E+03  1.768E+001  1.027E+000  8.577E+000  3.254E-001  3.168E-001  9.130E+000  6.673E-007  2.233E-003  7.012E-001  4.281E-014    5.0    3.0  4.081E-004  4.877E+009  8.128E+009  2.847E+005  7.926E+005 1
    4    3     25.6817  2.6755762E+11  1.1204781E+03  1.371E+001  1.504E+000  6.349E+000  1.786E-001  3.254E-001  6.759E+000  1.667E-006  3.719E-003  6.062E-001  7.327E-014    7.0    5.0  1.476E-003  5.225E+009  7.315E+009  8.247E+005  2.161E+006 1
    5    4     42.8023  3.5673429E+11  8.4038027E+02  1.143E+001  1.004E+000  3.106E+000  5.137E-002  1.786E-001  3.306E+000  1.933E-006  3.234E-003  7.064E-001  5.755E-014    9.0    7.0  3.627E-003  5.418E+009  6.966E+009  2.251E+006  6.454E+006 1
    6    5     64.2022  4.4590300E+11  6.7232663E+02  1.141E+001  3.063E-001  1.020E+000  9.626E-003  5.137E-002  1.086E+000  1.240E-006  1.660E-003  8.940E-001  2.554E-014   11.0    9.0  7.245E-003  5.542E+009  6.774E+009  5.278E+006  1.591E+007 1
    7    6     89.8812  5.3506178E+11  5.6029504E+02  1.324E+001  5.698E-002  2.387E-001  1.636E-003  9.626E-003  2.541E-001  5.013E-007  5.592E-004  9.790E-001  8.160E-015   13.0   11.0  1.271E-002  5.628E+009  6.651E+009  9.669E+006  3.275E+007 1
