! iup ilow         Eup           freq            lam         Tex         tau          Tr         fup        flow      flux_K        flux        beta         Jnu    gup   glow         Aul         Bul         Blu q
!                    K             Hz         micron           K                       K                              K km/s   erg/cm2/s                     ...                       ...         ...         ...  
!     1/   360:     1    1    1    1    1 /     4    3    1    6    5  Loop order: Tkin, dv, n_x, Ncol_x, dens
!  3.1623E+01 =    Tkin
!  1.0000E+05 =      dv
!  1.0000E+00 =     n_x
!  3.9050E+17 =  Ncol_x
!  3.1550E+03 = pH2     
!  9.4650E+03 = oH2     
   21   20   1276.0532  2.4139173E+12  1.2419334E+02   2.609E+01   1.767E-19   2.442E-19   8.019E-24   6.485E-22   2.600E-19   3.521E-24   1.000E+00   3.104E-29   43.0   41.0   8.833E-04   4.259E+06   4.467E+06 1
   22   21   1397.3862  2.5281718E+12  1.1858073E+02   2.628E+01   2.166E-21   2.623E-21   8.296E-26   8.019E-24   2.793E-21   4.344E-26   1.000E+00   3.104E-29   45.0   43.0   1.006E-03   4.222E+06   4.419E+06 1
   23   22   1524.1980  2.6423321E+12  1.1345753E+02   2.648E+01   2.221E-23   2.364E-23   7.212E-28   8.296E-26   2.516E-23   4.469E-28   1.000E+00   7.367E-31   47.0   45.0   1.139E-03   4.187E+06   4.373E+06 1
   24   23   1656.4835  2.7563860E+12  1.0876287E+02   2.668E+01   1.912E-25   1.790E-25   5.284E-30   7.212E-28   1.905E-25   3.841E-30   1.000E+00   7.367E-31   49.0   47.0   1.281E-03   4.148E+06   4.325E+06 1
   25   24   1794.2380  2.8703396E+12  1.0444494E+02   2.684E+01   1.386E-27   1.133E-27   3.245E-32   5.284E-30   1.206E-27   2.746E-32   1.000E+00   7.944E-33   51.0   49.0   1.432E-03   4.107E+06   4.274E+06 1
   26   25   1937.4559  2.9841810E+12  1.0046055E+02   2.703E+01   8.414E-30   6.053E-30   1.685E-34   3.245E-32   6.443E-30   1.648E-34   1.000E+00   7.944E-33   53.0   51.0   1.592E-03   4.063E+06   4.222E+06 1
   27   26   2086.1320  3.0979100E+12  9.6772488E+01   2.726E+01   4.318E-32   2.759E-32   7.484E-37   1.685E-34   2.937E-32   8.407E-37   1.000E+00   7.944E-33   55.0   53.0   1.761E-03   4.017E+06   4.169E+06 1
   28   27   2240.2605  3.2115208E+12  9.3349065E+01   2.735E+01   1.895E-34   1.046E-34   2.768E-39   7.484E-37   1.113E-34   3.551E-39   1.000E+00   2.969E-35   57.0   55.0   1.940E-03   3.972E+06   4.117E+06 1
   29   28   2399.8353  3.3250042E+12  9.0163030E+01   2.746E+01   6.916E-37   3.305E-37   8.574E-42   2.768E-39   3.518E-37   1.245E-41   1.000E+00   2.969E-35   59.0   57.0   2.126E-03   3.922E+06   4.060E+06 1
   30   29   2564.8506  3.4383635E+12  8.7190450E+01   2.767E+01   2.113E-39   1.472E-39   2.277E-44   8.574E-42   1.567E-39   6.131E-44   1.000E+00   2.969E-35   61.0   59.0   2.321E-03   3.872E+06   4.004E+06 1
   31   30   2735.2999  3.5515924E+12  8.4410716E+01   2.777E+01   5.536E-42   2.694E-42   5.084E-47   2.277E-44   2.868E-42   1.237E-46   1.000E+00   2.552E-38   63.0   61.0   2.524E-03   3.821E+06   3.946E+06 1
   32   31   2911.1769  3.6646851E+12  8.1805789E+01   2.788E+01   1.218E-44   0.000E+00   9.555E-50   5.084E-47   0.000E+00   0.000E+00   1.000E+00   2.552E-38   65.0   63.0   2.735E-03   3.769E+06   3.888E+06 1
   33   32   3092.4746  3.7776355E+12  7.9359815E+01   2.799E+01   2.254E-47   0.000E+00   1.514E-52   9.555E-50   0.000E+00   0.000E+00   1.000E+00   2.552E-38   67.0   65.0   2.952E-03   3.714E+06   3.828E+06 1
   34   33   3279.1862  3.8904438E+12  7.7058679E+01   2.814E+01   3.514E-50   0.000E+00   2.046E-55   1.514E-52   0.000E+00   0.000E+00   1.000E+00   2.552E-38   69.0   67.0   3.175E-03   3.657E+06   3.766E+06 1
   35   34   3471.3045  4.0031008E+12  7.4890060E+01   2.821E+01   4.673E-53   0.000E+00   2.322E-58   2.046E-55   0.000E+00   0.000E+00   1.000E+00   2.631E-42   71.0   69.0   3.404E-03   3.599E+06   3.703E+06 1
   36   35   3668.8221  4.1156035E+12  7.2842891E+01   2.833E+01   5.211E-56   0.000E+00   2.239E-61   2.322E-58   0.000E+00   0.000E+00   1.000E+00   2.631E-42   73.0   71.0   3.638E-03   3.539E+06   3.639E+06 1
   37   36   3871.7318  4.2279550E+12  7.0907201E+01   2.838E+01   4.937E-59   0.000E+00   1.806E-64   2.239E-61   0.000E+00   0.000E+00   1.000E+00   2.631E-42   75.0   73.0   3.878E-03   3.480E+06   3.575E+06 1
   38   37   4080.0253  4.3401374E+12  6.9074417E+01   2.849E+01   3.909E-62   0.000E+00   1.239E-67   1.806E-64   0.000E+00   0.000E+00   1.000E+00   2.631E-42   77.0   75.0   4.120E-03   3.418E+06   3.509E+06 1
   39   38   4293.6948  4.4521564E+12  6.7336462E+01   2.859E+01   2.632E-65   0.000E+00   7.217E-71   1.239E-67   0.000E+00   0.000E+00   1.000E+00   2.631E-42   79.0   77.0   4.365E-03   3.355E+06   3.442E+06 1
   40   39   4512.7323  4.5640064E+12  6.5686249E+01   2.866E+01   1.503E-68   0.000E+00   3.547E-74   7.217E-71   0.000E+00   0.000E+00   1.000E+00   2.631E-42   81.0   79.0   4.613E-03   3.291E+06   3.374E+06 1
!     2/   360:     1    1    1    1    2 /     4    3    1    6    5  Loop order: Tkin, dv, n_x, Ncol_x, dens
!  3.1623E+01 =    Tkin
!  1.0000E+05 =      dv
!  1.0000E+00 =     n_x
!  3.9050E+17 =  Ncol_x
!  5.0000E+03 = pH2     
!  1.5000E+04 = oH2     
    1    0      5.5321  1.1527120E+11  2.6007576E+03   3.135E+01   8.380E+00   2.782E+01   2.206E-01   8.771E-02   2.961E+01   4.367E-08   1.739E-01   9.727E-14    3.0    1.0   7.203E-08   3.189E+06   9.568E+06 1
    2    1     16.5962  2.3053700E+11  1.3004093E+03   3.129E+01   2.585E+01   2.589E+01   2.581E-01   2.206E-01   2.756E+01   3.251E-07   5.802E-02   4.014E-13    5.0    3.0   6.910E-07   3.825E+06   6.375E+06 1
    3    2     33.1918  3.4579839E+11  8.6695736E+02   3.116E+01   3.773E+01   2.355E+01   2.121E-01   2.581E-01   2.507E+01   9.981E-07   3.976E-02   8.323E-13    7.0    5.0   2.497E-06   4.095E+06   5.734E+06 1
    4    3     55.3183  4.6104039E+11  6.5025205E+02   3.075E+01   3.662E+01   2.100E+01   1.328E-01   2.121E-01   2.235E+01   2.109E-06   4.096E-02   1.316E-12    9.0    7.0   6.126E-06   4.240E+06   5.451E+06 1
    5    4     82.9746  5.7626599E+11  5.2023278E+02   2.963E+01   2.631E+01   1.792E+01   6.383E-02   1.328E-01   1.907E+01   3.514E-06   5.700E-02   1.724E-12   11.0    9.0   1.221E-05   4.327E+06   5.289E+06 1
    6    5    116.1602  6.9147520E+11  4.3355489E+02   2.606E+01   1.470E+01   1.289E+01   2.111E-02   6.383E-02   1.372E+01   4.368E-06   1.020E-01   1.701E-12   13.0   11.0   2.137E-05   4.384E+06   5.181E+06 1
    7    6    154.8732  8.0665003E+11  3.7165121E+02   1.972E+01   5.714E+00   6.301E+00   3.419E-03   2.111E-02   6.708E+00   3.390E-06   2.468E-01   9.520E-13   15.0   13.0   3.422E-05   4.422E+06   5.102E+06 1
    8    7    199.1126  9.2179946E+11  3.2522525E+02   1.568E+01   1.000E+00   1.768E+00   2.305E-04   3.419E-03   1.882E+00   1.420E-06   7.073E-01   2.138E-13   17.0   15.0   5.134E-05   4.445E+06   5.038E+06 1
